projectKey,value,type,Ecosystem
ONAP_policy-engine,67781,Java NCLOC,ONAP
ONAP_optf-fgps,4413,Java NCLOC,ONAP
ONAP_usecase-ui-server,15014,Java NCLOC,ONAP
ONAP_policy-distribution,2972,Java NCLOC,ONAP
ONAP_policy-pap,4798,Java NCLOC,ONAP
ONAP_dcaegen2-analytics-tca,7040,Java NCLOC,ONAP
ONAP_dcaegen2-analytics-tca-gen2,6993,Java NCLOC,ONAP
ONAP_dcaegen2-collectors-restconf,3679,Java NCLOC,ONAP
ONAP_dcaegen2-collectors-ves,2540,Java NCLOC,ONAP
ONAP_portal-sdk,68223,Java NCLOC,ONAP
ONAP_policy-api,1937,Java NCLOC,ONAP
ONAP_aaf-authz,53346,Java NCLOC,ONAP
ONAP_policy-drools-pdp,24487,Java NCLOC,ONAP
ONAP_aai-data-router,5486,Java NCLOC,ONAP
ONAP_policy-models,23620,Java NCLOC,ONAP
ONAP_aai-validation,5258,Java NCLOC,ONAP
ONAP_aai-cacher,3848,Java NCLOC,ONAP
ONAP_aai-esr-server,4613,Java NCLOC,ONAP
ONAP_aai-event-client,935,Java NCLOC,ONAP
ONAP_aai-gizmo,5489,Java NCLOC,ONAP
ONAP_aai-graphadmin,21814,Java NCLOC,ONAP
ONAP_aai-model-loader,3350,Java NCLOC,ONAP
ONAP_aai-resources,3752,Java NCLOC,ONAP
ONAP_aai-router-core,939,Java NCLOC,ONAP
ONAP_appc,60661,Java NCLOC,ONAP
ONAP_sdc-sdc-be-common,5406,Java NCLOC,ONAP
org.ONAP.sdc.sdc-be-common:sdc-be-common-parent,5402,Java NCLOC,ONAP
ONAP_optf-cmso,21209,Java NCLOC,ONAP
ONAP_sdc,239970,Java NCLOC,ONAP
ONAP_externalapi-nbi,7036,Java NCLOC,ONAP
ONAP_aaf-certservice,1758,Java NCLOC,ONAP
ONAP_aai-aai-common,28862,Java NCLOC,ONAP
ONAP_aai-babel,2750,Java NCLOC,ONAP
ONAP_dcaegen2-platform-mod-runtimeapi,940,Java NCLOC,ONAP
ONAP_dcaegen2-services-datalake-handler,3472,Java NCLOC,ONAP
ONAP_dcaegen2-services-datalake-handler-jess,3472,Java NCLOC,ONAP
ONAP_dcaegen2-services-mapper,16342,Java NCLOC,ONAP
ONAP_ccsdk-cds,800,Java NCLOC,ONAP
ONAP_policy-common,16608,Java NCLOC,ONAP
ONAP_policy-drools-applications,6296,Java NCLOC,ONAP
ONAP_policy-xacml-pdp,5311,Java NCLOC,ONAP
ONAP_dmaap-dbcapi,10132,Java NCLOC,ONAP
ONAP_aai-search-data-service,5058,Java NCLOC,ONAP
ONAP_logging-analytics-pomba-pomba-aai-context-builder,4650,Java NCLOC,ONAP
ONAP_logging-analytics-pomba-pomba-audit-common,1195,Java NCLOC,ONAP
ONAP_logging-analytics-pomba-pomba-context-aggregator,927,Java NCLOC,ONAP
ONAP_logging-analytics-pomba-pomba-network-discovery-context-builder,756,Java NCLOC,ONAP
ONAP_logging-analytics-pomba-pomba-sdc-context-builder,828,Java NCLOC,ONAP
ONAP_so-libs,12482,Java NCLOC,ONAP
ONAP_aai-schema-service,7150,Java NCLOC,ONAP
ONAP_dcaegen2-services-prh,2098,Java NCLOC,ONAP
ONAP_dcaegen2-services-sdk,3786,Java NCLOC,ONAP
ONAP_dcaegen2-services-son-handler,5951,Java NCLOC,ONAP
ONAP_dmaap-datarouter,15505,Java NCLOC,ONAP
ONAP_integration-pnf-simulator,2932,Java NCLOC,ONAP
ONAP_integration-simulators-pnf-simulator,2879,Java NCLOC,ONAP
ONAP_aai-sparky-be,16562,Java NCLOC,ONAP
ONAP_dcaegen2-services-pm-mapper,2102,Java NCLOC,ONAP
ONAP_clamp,9624,Java NCLOC,ONAP
ONAP_portal,40871,Java NCLOC,ONAP
ONAP_multicloud-framework-artifactbroker,2800,Java NCLOC,ONAP
ONAP_logging-analytics,2267,Java NCLOC,ONAP
ONAP_ccsdk-apps,5297,Java NCLOC,ONAP
ONAP_ccsdk-dashboard,7646,Java NCLOC,ONAP
ONAP_vfc-nfvo-wfengine-activiti-extension,753,Java NCLOC,ONAP
ONAP_ccsdk-features,26997,Java NCLOC,ONAP
ONAP_dcaegen2-platform-inventory-api,1959,Java NCLOC,ONAP
ONAP_sdnc-apps,972,Java NCLOC,ONAP
ONAP_cli,8887,Java NCLOC,ONAP
ONAP_ccsdk-sli-adaptors,14810,Java NCLOC,ONAP
ONAP_ccsdk-sli-core,12029,Java NCLOC,ONAP
ONAP_ccsdk-sli-northbound,4025,Java NCLOC,ONAP
ONAP_dcaegen2-collectors-datafile,2392,Java NCLOC,ONAP
ONAP_aai-spike,1862,Java NCLOC,ONAP
ONAP_aai-traversal,9382,Java NCLOC,ONAP
ONAP_vid,25570,Java NCLOC,ONAP
ONAP_dmaap-messagerouter-messageservice,3599,Java NCLOC,ONAP
ONAP_vnfsdk-functest,1711,Java NCLOC,ONAP
ONAP_ccsdk-sli-plugins,7929,Java NCLOC,ONAP
ONAP_holmes-engine-management,1233,Java NCLOC,ONAP
ONAP_holmes-rule-management,1101,Java NCLOC,ONAP
ONAP_msb-apigateway,7181,Java NCLOC,ONAP
ONAP_vnfsdk-ves-agent,9634,Java NCLOC,ONAP
ONAP_music,8756,Java NCLOC,ONAP
ONAP_holmes-common,2432,Java NCLOC,ONAP
ONAP_msb-discovery,5482,Java NCLOC,ONAP
ONAP_msb-java-sdk,1968,Java NCLOC,ONAP
ONAP_vfc-nfvo-multivimproxy,2505,Java NCLOC,ONAP
ONAP_vfc-nfvo-driver-vnfm-gvnfm-juju,6800,Java NCLOC,ONAP
ONAP_dmaap-messagerouter-dmaapclient,5069,Java NCLOC,ONAP
ONAP_policy-apex-pdp,43248,Java NCLOC,ONAP
ONAP_logging-analytics-pomba-pomba-sdnc-context-builder,4035,Java NCLOC,ONAP
ONAP_sdc-sdc-distribution-client,3051,Java NCLOC,ONAP
ONAP_dmaap-messagerouter-msgrtr,7898,Java NCLOC,ONAP
ONAP_sdc-sdc-workflow-designer,3055,Java NCLOC,ONAP
ONAP_vnfsdk-validation,5097,Java NCLOC,ONAP
ONAP_vnfsdk-refrepo,4570,Java NCLOC,ONAP
ONAP_sdc-dcae-d-dt-be-main,7765,Java NCLOC,ONAP
ONAP_sdnc-northbound,5976,Java NCLOC,ONAP
ONAP_sdc-dcae-d-ci,4613,Java NCLOC,ONAP
ONAP_sdc-dcae-d-dt-be-property,4766,Java NCLOC,ONAP
ONAP_sdc-sdc-tosca,11404,Java NCLOC,ONAP
ONAP_vfc-nfvo-driver-svnfm-huawei,5637,Java NCLOC,ONAP
ONAP_dmaap-messagerouter-mirroragent,854,Java NCLOC,ONAP
ONAP_vfc-nfvo-driver-vnfm-svnfm-nokiav2,5589,Java NCLOC,ONAP
ONAP_vfc-nfvo-resmanagement,9066,Java NCLOC,ONAP
ONAP_so,137549,Java NCLOC,ONAP
ONAP_vfc-nfvo-driver-ems,3385,Java NCLOC,ONAP
ONAP_vfc-nfvo-driver-sfc,1200,Java NCLOC,ONAP
Apache_sling-org-Apache-sling-scripting-bundle-tracker,24,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-core,41,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-esx,14,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler,128,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-sightly,36,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-sightly-compiler-java,41,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-sightly-js-provider,23,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-java,10,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-javascript,26,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-jsp,124,Java Files,Apache
Apache_incubator-daffodil,474,Java Files,Apache
Apache_sling-org-Apache-sling-commons-html,28,Java Files,Apache
Apache_sling-org-Apache-sling-hapi,20,Java Files,Apache
Apache_sling-org-Apache-sling-i18n,11,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-contentloader,22,Java Files,Apache
Apache_sling-org-Apache-sling-installer-core,72,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-accessmanager,15,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-jackrabbit-usermanager,25,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-base,39,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-classloader,6,Java Files,Apache
Apache_sling-org-Apache-sling-installer-provider-jcr,11,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-resource,33,Java Files,Apache
servicecomb-pack,327,Java Files,Apache
commons-numbers,76,Java Files,Apache
commons-rng,143,Java Files,Apache
commons-statistics,36,Java Files,Apache
cxf,4440,Java Files,Apache
Apache_sling-org-Apache-sling-pipes,55,Java Files,Apache
Apache_sling-org-Apache-sling-provisioning-model,26,Java Files,Apache
Apache_sling-org-Apache-sling-query,78,Java Files,Apache
Apache_sling-org-Apache-sling-resource-filter,24,Java Files,Apache
Apache_sling-org-Apache-sling-resourcemerger,17,Java Files,Apache
Apache_sling-org-Apache-sling-resourceresolver,60,Java Files,Apache
Apache_sling-org-Apache-sling-discovery-impl,16,Java Files,Apache
Apache_sling-org-Apache-sling-rewriter,37,Java Files,Apache
Apache_groovy,1503,Java Files,Apache
hadoop-ozone,1406,Java Files,Apache
Apache_incubator-iotdb,870,Java Files,Apache
Apache_isis,3377,Java Files,Apache
Apache_incubator-tamaya,115,Java Files,Apache
Apache_incubator-tamaya-extensions,316,Java Files,Apache
Apache_sling-org-Apache-sling-junit-teleporter,8,Java Files,Apache
Apache_sling-org-Apache-sling-xss,17,Java Files,Apache
Apache_sling-org-Apache-sling-app-cms,189,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-repoinit,17,Java Files,Apache
Apache_sling-org-Apache-sling-testing-sling-mock,57,Java Files,Apache
Apache_sling-org-Apache-sling-junit-core,36,Java Files,Apache
Apache_sling-org-Apache-sling-feature-modelconverter,5,Java Files,Apache
Apache_sling-org-Apache-sling-file-optimization,19,Java Files,Apache
Apache_sling-org-Apache-sling-fsresource,35,Java Files,Apache
Apache_sling-org-Apache-sling-auth-form,11,Java Files,Apache
Apache_openmeetings,726,Java Files,Apache
jspwiki-builder,686,Java Files,Apache
Apache_sling-org-Apache-sling-jobs,27,Java Files,Apache
Apache_sling-org-Apache-sling-launchpad-base,29,Java Files,Apache
Apache_sling-org-Apache-sling-launchpad-integration-tests,166,Java Files,Apache
Apache_sling-org-Apache-sling-launchpad-test-services,69,Java Files,Apache
Apache_sling-org-Apache-sling-tracer,15,Java Files,Apache
Apache_sling-maven-launchpad-plugin,27,Java Files,Apache
Apache_sling-maven-plugin,32,Java Files,Apache
Apache_sling-org-Apache-sling-models-impl,36,Java Files,Apache
Apache_sling-org-Apache-sling-models-integration-tests,47,Java Files,Apache
Apache_sling-org-Apache-sling-api,121,Java Files,Apache
Apache_sling-org-Apache-sling-auth-core,31,Java Files,Apache
Apache_sling-org-Apache-sling-bundleresource-impl,10,Java Files,Apache
Apache_sling-org-Apache-sling-clam,20,Java Files,Apache
Apache_sling-org-Apache-sling-committer-cli,46,Java Files,Apache
Apache_sling-org-Apache-sling-commons-jcr-file,14,Java Files,Apache
Apache_sling-org-Apache-sling-commons-log,41,Java Files,Apache
Apache_sling-org-Apache-sling-commons-metrics,24,Java Files,Apache
JMeter,1138,Java Files,Apache
commons-compress,245,Java Files,Apache
Apache-dolphinscheduler,775,Java Files,Apache
Apache_sling-org-Apache-sling-feature-io,22,Java Files,Apache
Apache_sling-org-Apache-sling-jcr-webdav,15,Java Files,Apache
Apache_sling-org-Apache-sling-jmx-provider,8,Java Files,Apache
Apache_sling-org-Apache-sling-distribution-journal,69,Java Files,Apache
Apache_sling-kickstart-maven-plugin,13,Java Files,Apache
ant-master,925,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-thymeleaf,17,Java Files,Apache
poi-parent,2458,Java Files,Apache
Apache_incubator-ratis,334,Java Files,Apache
Apache_sling-org-Apache-sling-testing-clients,69,Java Files,Apache
Apache_struts,1543,Java Files,Apache
servicecomb-toolkit,484,Java Files,Apache
Apache_sling-org-Apache-sling-servlets-get,15,Java Files,Apache
Apache_plc4x,706,Java Files,Apache
Apache_incubator-tamaya-sandbox,132,Java Files,Apache
commons-geometry,191,Java Files,Apache
Apache_sling-whiteboard,36,Java Files,Apache
Apache_sling-org-Apache-sling-distribution-core,200,Java Files,Apache
Apache_sling-org-Apache-sling-testing-serversetup,15,Java Files,Apache
Apache_sling-org-Apache-sling-serviceusermapper,12,Java Files,Apache
Apache_sling-org-Apache-sling-servlet-helpers,20,Java Files,Apache
Apache_sling-org-Apache-sling-servlets-resolver,37,Java Files,Apache
Apache_sling-slingstart-maven-plugin,32,Java Files,Apache
Apache_sling-org-Apache-sling-testing-jcr-mock,23,Java Files,Apache
Apache_sling-org-Apache-sling-testing-osgi-mock,41,Java Files,Apache
Apache_sling-org-Apache-sling-testing-paxexam,5,Java Files,Apache
Apache_sling-org-Apache-sling-testing-resourceresolver-mock,16,Java Files,Apache
Apache_sling-scriptingbundle-maven-plugin,11,Java Files,Apache
roller-master,665,Java Files,Apache
Apache_sling-org-Apache-sling-scripting-jsp-taglib,29,Java Files,Apache
Apache_sling-org-Apache-sling-discovery-oak,7,Java Files,Apache
knox-gateway,1123,Java Files,Apache
pdfbox-reactor,1194,Java Files,Apache
Apache_sling-org-Apache-sling-discovery-base,30,Java Files,Apache
Apache_sling-org-Apache-sling-discovery-commons,33,Java Files,Apache
Apache_sling-org-Apache-sling-engine,68,Java Files,Apache
Apache_sling-org-Apache-sling-event,59,Java Files,Apache
Apache_sling-org-Apache-sling-feature,46,Java Files,Apache
Apache_sling-org-Apache-sling-feature-launcher,17,Java Files,Apache
Apache_sling-org-Apache-sling-feature-analyser,38,Java Files,Apache
org.Apache.nemo:nemo-project,494,Java Files,Apache
Apache_sling-jspc-maven-plugin,8,Java Files,Apache
Apache_sling-org-Apache-sling-commons-threads,19,Java Files,Apache
Apache_sling-org-Apache-sling-testing-rules,34,Java Files,Apache
Apache_sling-org-Apache-sling-commons-testing,37,Java Files,Apache
Apache_sling-slingfeature-maven-plugin,43,Java Files,Apache
Apache_sling-org-Apache-sling-commons-scheduler,23,Java Files,Apache
Apache_sling-org-Apache-sling-feature-cpconverter,57,Java Files,Apache
Apache_sling-org-Apache-sling-caconfig-impl,64,Java Files,Apache
Apache_sling-org-Apache-sling-servlets-post,50,Java Files,Apache
Apache_sling-org-Apache-sling-validation-core,23,Java Files,Apache
Apache_sling-org-Apache-sling-feature-extension-apiregions,17,Java Files,Apache
ONAP_vfc-nfvo-wfengine-wfenginemgrservice,29,Java Files,ONAP
ONAP_dcaegen2-services-bbs-event-processor,53,Java Files,ONAP
ONAP_policy-engine,722,Java Files,ONAP
ONAP_optf-fgps,53,Java Files,ONAP
ONAP_usecase-ui-server,261,Java Files,ONAP
ONAP_policy-distribution,78,Java Files,ONAP
ONAP_policy-pap,67,Java Files,ONAP
ONAP_dcaegen2-analytics-tca,143,Java Files,ONAP
ONAP_dcaegen2-analytics-tca-gen2,250,Java Files,ONAP
ONAP_dcaegen2-collectors-restconf,49,Java Files,ONAP
ONAP_dcaegen2-collectors-ves,47,Java Files,ONAP
ONAP_portal-sdk,1290,Java Files,ONAP
ONAP_policy-api,23,Java Files,ONAP
ONAP_aaf-authz,684,Java Files,ONAP
ONAP_policy-drools-pdp,234,Java Files,ONAP
ONAP_aai-data-router,59,Java Files,ONAP
ONAP_policy-models,444,Java Files,ONAP
ONAP_aai-validation,78,Java Files,ONAP
ONAP_aai-cacher,61,Java Files,ONAP
ONAP_aai-esr-server,84,Java Files,ONAP
ONAP_aai-event-client,18,Java Files,ONAP
ONAP_aai-gizmo,51,Java Files,ONAP
ONAP_aai-graphadmin,142,Java Files,ONAP
ONAP_aai-model-loader,57,Java Files,ONAP
ONAP_aai-resources,55,Java Files,ONAP
ONAP_aai-router-core,19,Java Files,ONAP
ONAP_appc,1143,Java Files,ONAP
ONAP_sdc-sdc-be-common,86,Java Files,ONAP
org.ONAP.sdc.sdc-be-common:sdc-be-common-parent,86,Java Files,ONAP
ONAP_optf-cmso,342,Java Files,ONAP
ONAP_sdc,3697,Java Files,ONAP
ONAP_externalapi-nbi,138,Java Files,ONAP
ONAP_aaf-certservice,104,Java Files,ONAP
ONAP_aai-aai-common,411,Java Files,ONAP
ONAP_aai-babel,53,Java Files,ONAP
ONAP_dcaegen2-platform-mod-runtimeapi,29,Java Files,ONAP
ONAP_dcaegen2-services-datalake-handler,59,Java Files,ONAP
ONAP_dcaegen2-services-datalake-handler-jess,59,Java Files,ONAP
ONAP_dcaegen2-services-mapper,128,Java Files,ONAP
ONAP_ccsdk-cds,412,Java Files,ONAP
ONAP_policy-common,261,Java Files,ONAP
ONAP_policy-drools-applications,90,Java Files,ONAP
ONAP_policy-xacml-pdp,82,Java Files,ONAP
ONAP_dmaap-dbcapi,100,Java Files,ONAP
ONAP_aai-search-data-service,66,Java Files,ONAP
ONAP_logging-analytics-pomba-pomba-aai-context-builder,36,Java Files,ONAP
ONAP_logging-analytics-pomba-pomba-audit-common,19,Java Files,ONAP
ONAP_logging-analytics-pomba-pomba-context-aggregator,16,Java Files,ONAP
ONAP_logging-analytics-pomba-pomba-network-discovery-context-builder,15,Java Files,ONAP
ONAP_logging-analytics-pomba-pomba-sdc-context-builder,18,Java Files,ONAP
ONAP_so-libs,278,Java Files,ONAP
ONAP_aai-schema-service,87,Java Files,ONAP
ONAP_dcaegen2-services-prh,60,Java Files,ONAP
ONAP_dcaegen2-services-sdk,162,Java Files,ONAP
ONAP_dcaegen2-services-son-handler,118,Java Files,ONAP
ONAP_dmaap-datarouter,109,Java Files,ONAP
ONAP_integration-pnf-simulator,88,Java Files,ONAP
ONAP_integration-simulators-pnf-simulator,86,Java Files,ONAP
ONAP_aai-sparky-be,205,Java Files,ONAP
ONAP_dcaegen2-services-pm-mapper,53,Java Files,ONAP
ONAP_clamp,195,Java Files,ONAP
ONAP_portal,743,Java Files,ONAP
ONAP_multicloud-framework-artifactbroker,67,Java Files,ONAP
ONAP_logging-analytics,79,Java Files,ONAP
ONAP_ccsdk-apps,94,Java Files,ONAP
ONAP_ccsdk-dashboard,201,Java Files,ONAP
ONAP_vfc-nfvo-wfengine-activiti-extension,17,Java Files,ONAP
ONAP_ccsdk-features,503,Java Files,ONAP
ONAP_dcaegen2-platform-inventory-api,32,Java Files,ONAP
ONAP_sdnc-apps,16,Java Files,ONAP
ONAP_cli,167,Java Files,ONAP
ONAP_ccsdk-sli-adaptors,228,Java Files,ONAP
ONAP_ccsdk-sli-core,151,Java Files,ONAP
ONAP_ccsdk-sli-northbound,68,Java Files,ONAP
ONAP_dcaegen2-collectors-datafile,41,Java Files,ONAP
ONAP_aai-spike,30,Java Files,ONAP
ONAP_aai-traversal,91,Java Files,ONAP
ONAP_vid,654,Java Files,ONAP
ONAP_dmaap-messagerouter-messageservice,28,Java Files,ONAP
ONAP_vnfsdk-functest,29,Java Files,ONAP
ONAP_ccsdk-sli-plugins,129,Java Files,ONAP
ONAP_holmes-engine-management,24,Java Files,ONAP
