"","X1","projectKey","ncloc_java","files","classes","functions","design_issues","java:S104","java:S107","java:S112","java:S133","java:S1104","java:S1113","java:S1118","java:S1130","java:S1133","java:S1160","java:S1161","java:S1165","java:S1166","java:S1182","java:S1185","java:S1188","java:S1194","java:S1199","java:S1210","java:S1217","java:S1220","java:S1221","java:1311","java:S1444","java:S1598","java:S1609","java:S1610","java:S2059","java:S2062","java:S2134","java:S2157","java:S2166","java:S2221","java:S2222","java:S2236","java:S2273","java:S2276","java:S2386","java:S2638","java:S2693","java:S2696","java:S2885","java:S2975","java:S3389","java:S3422","AVGjava:S107","Kjava:S107","AVGjava:S112","Kjava:S112","AVGjava:S1104","Kjava:S1104","AVGjava:S1113","Kjava:S1113","AVGjava:S1118","Kjava:S1118","AVGjava:S1130","Kjava:S1130","AVGjava:S1133","Kjava:S1133","AVGjava:S1161","Kjava:S1161","AVGjava:S1165","Kjava:S1165","AVGjava:S1182","Kjava:S1182","AVGjava:S1185","Kjava:S1185","AVGjava:S1199","Kjava:S1199","AVGjava:S1210","Kjava:S1210","AVGjava:S1217","Kjava:S1217","AVGjava:S1220","Kjava:S1220","AVGjava:S1221","Kjava:S1221","AVGjava:S1444","Kjava:S1444","AVGjava:S1598","Kjava:S1598","AVGjava:S1610","Kjava:S1610","AVGjava:S2062","Kjava:S2062","AVGjava:S2157","Kjava:S2157","AVGjava:S2166","Kjava:S2166","AVGjava:S2222","Kjava:S2222","AVGjava:S2236","Kjava:S2236","AVGjava:S2273","Kjava:S2273","AVGjava:S2276","Kjava:S2276","AVGjava:S2386","Kjava:S2386","AVGjava:S2638","Kjava:S2638","AVGjava:S2696","Kjava:S2696","AVGjava:S2885","Kjava:S2885","AVGjava:S2975","Kjava:S2975","AVGjava:S3389","Kjava:S3389","AVGjava:S3422","Kjava:S3422","inheritance","exception","vmsmell","interface","threading","complexity","ATDx"
"21",23,"onap_aai-event-client",935,18,18,128,24,0,5,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0625,5,18.1818181818182,5,0,0,0,0,55.5555555555556,2,0,0,0,0,7.8125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,1.25,0,1.4,0,0,0.478703703703704
"22",24,"onap_aai-gizmo",5489,51,60,471,35,0,8,3,0,4,0,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9851380042463,3.33333333333333,0.546547640736017,1,66.6666666666667,1.25,0,0,116.666666666667,3,1.45746037529605,2,0,0,0,0,16.6666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.51666666666667,0,0,0.419444444444444
"23",25,"onap_aai-graphadmin",21814,142,157,932,207,0,16,76,0,6,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,0,0,0,17.1673819742489,3.33333333333333,3.48400110021087,2,38.2165605095541,0,0,0,6.36942675159236,0,0.320894838177317,1,1.07296137339056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2165605095541,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21747501604474,5,12.7388535031847,2.5,0,0,0,0,0,0,0,0.75,0,0.666666666666667,0.5,0,0.319444444444444
"24",26,"onap_aai-model-loader",3350,57,61,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",27,"onap_aai-resources",3752,55,55,218,20,0,2,4,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9.1743119266055,1.66666666666667,1.06609808102345,1,18.1818181818182,0,0,0,18.1818181818182,1,2.39872068230277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266524520255864,1.25,18.1818181818182,2.5,0,0,0,0,0,0,0,1,0,0.533333333333333,0.5,0,0.338888888888889
"26",28,"onap_aai-router-core",939,19,20,113,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19488817891374,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84955752212389,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0.138888888888889
"27",29,"onap_appc",60661,1143,983,5024,318,0,5,120,0,4,0,39,95,5,0,3,23,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,1,0,0,6,5,2,0,0,0.995222929936306,0,1.97820675557607,2,4.06917599186165,0,0,0,39.6744659206511,2,1.56608034816439,2,0.995222929936306,0,0.597133757961783,0,23.3977619532045,2,1.01729399796541,0,0,0,0.0329701125929345,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05188199389624,1.25,0,0,0,0,0,0,0.0164850562964673,0,0.0494551688894018,0,0,0,0,0,1.01729399796541,0,0,0,0.0989103377788035,1.25,5.08646998982706,1.25,2.03458799593082,0,0,0,0,0,0,1.5,0,0.65,0.25,0,0.4
"28",30,"onap_sdc-sdc-be-common",5406,86,101,885,35,0,0,0,0,1,0,6,0,21,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9009900990099,0,0,0,59.4059405940594,2,0,0,23.728813559322,4,5.64971751412429,2,0,0,0,0,1.12994350282486,1,0,0,0,0,0,0,0,0,0,0,9.9009900990099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1.2,0,2,0.588888888888889
"29",31,"org.onap.sdc.sdc-be-common:sdc-be-common-parent",5402,86,101,884,35,0,0,0,0,1,0,6,0,21,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9009900990099,0,0,0,59.4059405940594,2,0,0,23.7556561085973,4,5.65610859728507,2,0,0,0,0,1.13122171945701,1,0,0,0,0,0,0,0,0,0,0,9.9009900990099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1.2,0,2,0.588888888888889
"30",32,"onap_optf-cmso",21209,342,381,2103,53,0,2,0,0,0,0,6,4,0,0,1,16,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951022349025202,0,0,0,0,0,0,0,15.748031496063,1,0.188599179593569,0,0,0,0.475511174512601,0,41.994750656168,3,0,0,0,0,1.13159507756141,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.2,0,2,0.491666666666667
