organization,key,name,tags,visibility,isNew,repo_url,eligibilityStatus,eligible
apache,apache_sling-org-apache-sling-xss,Apache Sling XSS Protection API,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-xss,,
onap,onap_modeling-etsicatalog,modeling-etsicatalog,[],public,False,,,
onap,onap_policy-drools-pdp,policy-drools-pdp,[],public,False,,,
apache,apache_sling-org-apache-sling-app-cms,Apache Sling - CMS,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-app-cms,,
onap,onap_aai-data-router,aai-data-router,[],public,False,,,
apache,apache_sling-org-apache-sling-jcr-repoinit,Apache Sling Repoinit JCR,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-jcr-repoinit,,
apache,apache_sling-org-apache-sling-testing-sling-mock,Apache Sling Testing Sling Mock,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-testing-sling-mock,,
apache,apache_sling-org-apache-sling-junit-core,Apache Sling JUnit Core,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-junit-core,,
apache,apache_sling-org-apache-sling-feature-modelconverter,Apache Sling Feature Model Converter,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-feature-modelconverter,,
apache,apache_sling-org-apache-sling-file-optimization,Apache Sling File Optimization,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-file-optimization,,
apache,apache_sling-org-apache-sling-fsresource,Apache Sling File System Resource Provider,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-fsresource,,
apache,apache_sling-org-apache-sling-auth-form,Apache Sling Form Based Authentication,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-auth-form,,
onap,onap_policy-models,policy-models,[],public,False,,,
apache,apache_openmeetings,Openmeetings,[],public,False,https://github.com/apache/openmeetings,,
apache,jspwiki-builder,Apache JSPWiki,[],public,False,,,
apache,apache_sling-org-apache-sling-jobs,Apache Sling Jobs Support,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-jobs,,
apache,apache_sling-org-apache-sling-launchpad-base,Apache Sling Launchpad Base,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-launchpad-base,,
apache,apache_sling-org-apache-sling-launchpad-integration-tests,Apache Sling Launchpad Integration Tests,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-launchpad-integration-tests,,
apache,apache_sling-org-apache-sling-launchpad-test-services,Apache Sling Launchpad Testing Services,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-launchpad-test-services,,
apache,apache_sling-org-apache-sling-tracer,Apache Sling Log Tracer,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-tracer,,
apache,apache_sling-maven-launchpad-plugin,Apache Sling Maven Launchpad Plugin,['sling'],public,False,https://github.com/apache/sling-maven-launchpad-plugin,,
apache,apache_sling-maven-plugin,Apache Sling Maven Plugin Reactor,['sling'],public,False,https://github.com/apache/sling-maven-plugin,,
apache,apache_sling-org-apache-sling-models-impl,Apache Sling Models Implementation,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-models-impl,,
apache,apache_sling-org-apache-sling-models-integration-tests,Apache Sling Models Integration Tests,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-models-integration-tests,,
onap,onap_aai-validation,aai-validation,[],public,False,,,
apache,apache_sling-org-apache-sling-api,Apache Sling API,['sling'],public,False,https://github.com/apache/sling-org-apache-sling-api,,
